date,close
0,2007-02-01,0.005094
1,2007-03-01,-0.026139
2,2007-04-01,0.048525
3,2007-05-01,0.052007
4,2007-06-01,-0.016070
5,2007-07-01,0.038006
6,2007-08-01,-0.063895
7,2007-09-01,0.066521
8,2007-10-01,0.002476
9,2007-11-01,-0.024042
10,2007-12-01,-0.010629
11,2008-01-01,-0.059492
12,2008-02-01,-0.035596
13,2008-03-01,0.013213
14,2008-04-01,0.020872
15,2008-05-01,-0.001434
16,2008-06-01,-0.042702
17,2008-07-01,-0.057398
18,2008-08-01,0.025434
19,2008-09-01,-0.069100
20,2008-10-01,-0.154181
21,2008-11-01,-0.080310
22,2008-12-01,0.058127
23,2009-01-01,-0.037496
24,2009-02-01,-0.164795
25,2009-03-01,0.042397
26,2009-04-01,0.064513
27,2009-05-01,0.056776
28,2009-06-01,0.038969
29,2009-07-01,-0.047834
30,2009-08-01,0.110972
31,2009-09-01,0.057594
32,2009-10-01,-0.007828
33,2009-11-01,0.077390
34,2009-12-01,-0.003478
35,2010-01-01,-0.022411
36,2010-02-01,0.012850
37,2010-03-01,0.050856
38,2010-04-01,0.015511
39,2010-05-01,-0.080055
40,2010-06-01,-0.035769
41,2010-07-01,0.078134
42,2010-08-01,-0.034476
43,2010-09-01,0.067414
44,2010-10-01,0.023775
45,2010-11-01,-0.002383
46,2010-12-01,0.039776
47,2011-01-01,0.031102
48,2011-02-01,0.014329
49,2011-03-01,-0.002139
50,2011-04-01,0.032418
51,2011-05-01,0.001199
52,2011-06-01,-0.002194
53,2011-07-01,0.002626
54,2011-08-01,-0.066956
55,2011-09-01,-0.036406
56,2011-10-01,0.025682
57,2011-11-01,0.001359
58,2011-12-01,0.045912
59,2012-01-01,0.052598
60,2012-02-01,0.017742
61,2012-03-01,0.025920
62,2012-04-01,-0.009181
63,2012-05-01,-0.053259
64,2012-06-01,0.034768
65,2012-07-01,-0.000140
66,2012-08-01,0.035016
67,2012-09-01,0.024247
68,2012-10-01,-0.018274
69,2012-11-01,-0.026969
70,2012-12-01,0.011860
71,2013-01-01,0.028023
72,2013-02-01,0.036521
73,2013-03-01,0.023492
74,2013-04-01,0.037377
75,2013-05-01,0.016852
76,2013-06-01,-0.000225
77,2013-07-01,0.025628
78,2013-08-01,-0.042492
79,2013-09-01,0.028118
80,2013-10-01,0.007576
81,2013-11-01,0.032679
82,2013-12-01,0.018380
83,2014-01-01,0.015902
84,2014-02-01,-0.014941
85,2014-03-01,0.014772
86,2014-04-01,0.007108
87,2014-05-01,0.010995
88,2014-06-01,0.006544
89,2014-07-01,-0.993017
90,2014-08-01,144.518301
91,2014-09-01,-0.003246
92,2014-10-01,0.020396
93,2014-11-01,0.025169
94,2014-12-01,-0.000286
95,2015-01-01,-0.036930
96,2015-02-01,0.056382
97,2015-03-01,-0.019666
98,2015-04-01,0.014750
99,2015-05-01,-0.001530
100,2015-06-01,-0.021720
101,2015-07-01,0.006379
102,2015-08-01,-0.067895
103,2015-09-01,-0.025750
104,2015-10-01,0.096948
105,2015-11-01,0.003193
106,2015-12-01,-0.016642
107,2016-01-01,-0.055019
108,2016-02-01,0.003049
109,2016-03-01,0.070753
110,2016-04-01,0.005004
111,2016-05-01,0.000765
112,2016-06-01,0.008028
113,2016-07-01,0.028009
114,2016-08-01,-0.001698
115,2016-09-01,-0.005038
116,2016-10-01,-0.009056
117,2016-11-01,0.054083
118,2016-12-01,0.033414
119,2017-01-01,0.005136
120,2017-02-01,0.047729
121,2017-03-01,-0.007159
122,2017-04-01,0.013420
123,2017-05-01,0.003257
124,2017-06-01,0.016227
125,2017-07-01,0.025363
126,2017-08-01,0.002604
127,2017-09-01,0.020822
128,2017-10-01,0.043387
129,2017-11-01,0.038294
130,2017-12-01,0.018408
131,2018-01-01,0.057858
132,2018-02-01,-0.042839
133,2018-03-01,-0.034663
134,2018-04-01,0.000062
135,2018-05-01,0.010458
136,2018-06-01,-0.005914
137,2018-07-01,0.047125
138,2018-08-01,0.021625
139,2018-09-01,0.019007
140,2018-10-01,-0.050740
141,2018-11-01,0.016830
142,2018-12-01,-0.086575
143,2019-01-01,0.071684
144,2019-02-01,0.036652
145,2019-03-01,0.000490
146,2019-04-01,0.025616
147,2019-05-01,-0.066856
148,2019-06-01,0.078106
149,2019-07-01,
150,2019-08-01,
151,2019-09-01,
152,2019-10-01,0.006779
153,2019-11-01,
154,2019-12-01,
155,2020-01-01,
156,2020-02-01,-0.010447
157,2020-03-01,-0.216146
158,2020-04-01,0.034804
