metric,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01
0,open,0.033491,-0.060449,0.025426,-0.004312,0.060632,0.027154,-0.059233,-0.046271,0.014400,-0.027080,-0.114703,0.022566,-0.094471,-0.024644,-0.021336,0.076018,0.073047,-0.020621,0.000000,-0.024099,-0.025734,0.050427,-0.267717,-0.235865,0.285974,0.045888,-0.102599,0.191049,0.106726,0.023966,-0.006687,-0.046564,-0.032068,0.034347,-0.050544
1,high,-0.007338,-0.040657,0.022046,0.030576,0.080268,-0.021633,-0.059796,-0.038446,0.003615,-0.055520,-0.039488,-0.053492,-0.022705,-0.064646,0.049676,0.064558,0.044697,-0.034690,-0.020125,-0.045232,0.052241,-0.035288,-0.271695,-0.010738,0.069328,-0.004257,0.041105,0.186987,0.068121,-0.061784,0.031864,-0.090324,0.012447,-0.004191,0.099327
2,low,-0.016147,-0.007984,0.031075,-0.002168,0.059105,-0.027288,-0.051677,-0.043372,0.002558,-0.108302,-0.001300,-0.145573,0.074672,-0.067499,0.043187,0.073469,0.047257,-0.022562,-0.001592,-0.136327,0.046154,-0.138235,-0.304437,0.059372,0.217230,-0.062405,0.068994,0.168185,0.123172,-0.055266,0.039510,-0.035946,-0.050733,0.030264,0.007188
3,close,-0.057190,0.021538,-0.003873,0.056156,0.029243,-0.052056,-0.049046,0.009257,-0.022712,-0.112402,0.015861,-0.098141,-0.028854,-0.028862,0.095280,0.076350,-0.016560,0.000000,-0.041719,0.003672,0.037366,-0.255164,-0.241123,0.267380,0.069269,-0.117067,0.163501,0.109155,0.016739,-0.006245,-0.028563,-0.027639,0.025703,-0.056309,0.200562
