Fide id;Name;Federation;Year_of_birth;Title;Gender
0;700070;Polgar, Judit;HUN;1976;GM;female
1;8602980;Hou, Yifan;CHN;1994;GM;female
2;5008123;Koneru, Humpy;IND;1987;GM;female
3;4147103;Goryachkina, Aleksandra;RUS;1998;GM;female
4;700088;Polgar, Susan;HUN;1969;GM;female
