skills,roles
0,Business Intelligence/nArtificial Intelligence/nNatural Language Processing/nNeural Networks/nData Mining/nMachine Learning/nDeep Learning/nSQL,Immediate opening For Data Scientist/Data Analyst
1,IT Skills/nJava/nPython/nTesting/nCloud/nBig Data/nAWS/nAzure,Associate NLP & Text Mining Data Scientist
2,Pytorch/nTensorflow/nCnn/nRnn/nNLP/nSpacy/nMachine Learning/nScikit-Learn,Trainer - Data Scientist/ AIML Engineer:
3,IT Skills/nJava/nPython/nTesting/nData Science/nAWS/nTableau/nAzure,Data Scientist/Data Analyst
4,NLP/nAlgorithms/nBusiness Analytics/nData Scientist/nMachine Learning/nDeep Learning/nPython/n,Data Scientist - Machine Learning/NLP
